
žrádlo;po;pro kočky;pkn
kompot;po;z broskví;pkn
souprava;po;na čaj;pkn
cesta;po;po poli;pkn
buchty;po;s tvarohem;pkn
taška;po;do školy;pkn
boty;po;na sport;pkn
taška;po;z papíru;pkn
výpadek;po;elektřiny;pkn
otec;po;nevěsty;pkn
rána;po;osudu;pkn
auto;po;na baterky;pkn
práce;po;v hodině;pkn
parfém;po;z Paříže;pkn
krém;po;na opalování;pkn
police ;po;ze dřeva;pkn
vývar ;po;z kuřete;pkn
koláč;po;s třešněmi;pkn
festival;po;filmů;pkn
záložka;po;do knihy;pkn
krém;po;proti vráskám;pkn
maso;po;na grilování;pkn
sukně;po;z hedvábí;pkn
klec;po;andulky;pkn
strom;po;v zahradě;pkn
oplatka;po;s oříšky;pkn
dům;po;u jezera;pkn
nůžky;po;na plech;pkn
prášek;po;do pečiva;pkn
místo;po;činu;pkn
střelba;po;z pušky;pkn
okraj;po;zahrady;pkn
kilo;po;mouky;pkn
litr;po;mléka;pkn
léky;po;na předpis;pkn
muž;po;činu;pkn
studenti ;po;z Lotyšska;pkn
obyvatelé;po;Krkonoš;pkn
hokejisté;po;z Pardubic;pkn
sýr;po;z Francie;pkn
klasy;po;obilí;pkn
spolužák;po;ze třídy;pkn
zub;po;moudrosti;pkn
výčitky;po;svědomí;pkn
obraz;po;Leonarda da Vinci;pkn
jednička;po;z angičtiny;pkn
naušnice;po;s diamanty;pkn
brýle;po;bez obrouček;pkn
sněhulák;po;na zahradě;pkn
tužka;po;na oči;pkn
štětec;po;na líčení;pkn
boty;po;na podpatku;pkn
stůl;po;do dílny;pkn
dárek;po;z lásky;pkn
dárek;po;k narozeninám;pkn
květina;po;pro babičku;pkn
cesta;po;do Země nezemě;pkn
chuť;po;pomáhat;pkn
proud;po;vody;pkn
zajíc;po;na smetaně;pkn
kuře;po;na paprice;pkn
pěstování;po;borůvek;pkn
štěkot;po;psa;pkn
brnění;po;pro rytíře;pkn
drak;po;se sedmi hlavami;pkn
představení;po;v divadle;pkn
budka;po;pro ptáčky;pkn
jízda;po;metrem;pkn
panelák;po;naproti;pkn
ryby;po;z potoka;pkn
bratr;po;Petry;pkn
koření;po;na guláš;pkn
sáček;po;brambůrek;pkn
kytice;po;pivoněk;pkn
paprsky;po;slunce;pkn
kamarád;po;z tábora;pkn
úder;po;mečem;pkn
lístek;po;na koncert;pkn
výlet;po;do pravěku;pkn
učebnice;po;na matematiku;pkn
lak;po;na nehty;pkn
