Oba;pks;sourozenci;po;na sebe;pum;rychle;puz;pohlédli.;př;;;;;;;;
Divočák;po;měl (ostré);př;tesáky;pt;ostré;př;jako dýky.;puz;;;;;;;;
Vítěz;po;získá;př;moji ;pks;dceru;pt;za ženu.;puz;;;;;;;;
Na nebi;pum;se hemžily;př;hvězdy.;po;;;;;;;;;;;;
Druhého ;pks;dne;puč;zamířil;př;kluk;po;k začarovanému;pks;(k) zámku.;pum;;;;;;
Rychle;puz;služebnící;po;dovolili;př;princovi;pt;předstoupit;pt;před krále.;pum;;;;;;
Rytíř;po;se spouštěl;př;z věže;pum;pomocí copů;puz;Lociky.;pkn;;;;;;;;
Dcera;po;tuze;pu míry;chtěla;př;zlatý;pks;řetízek;pt;s perličkou.;pkn;;;;;;
Bludičky;po;lákaly;př;svými;pks;světélky;pt;chlapce;pt;do bažiny.;pum;;;;;;
Karkulka;po;šla;př;po lesní;pks;(po) pěšině;pum;za babičkou.;pum;;;;;;;;
Vlk;po;běžel;př;nejkratší;pks;cestou.;pum;;;;;;;;;;
Pašík;po;se ocitl;př;kvůli zápachu;pu příčiny;poprvé;puč;v pračce.;pum;;;;;;;;
Velká ;pks;mezera;po;pode dveřmi;pkn;se najednou;puč;hodila (se).;př;;;;;;;;
Zábradlí;po;bylo vysoké;př;jako mrakodrapy.;pu míry;;;;;;;;;;;;
Ciferník;po;měl;př;po obvodu;pum;všechny;pks;barvy;pt;duhy.;pkn;;;;;;
V každém;pks;povozu;pum;seděl;př;jeden;pks;nedočkavý;pks;cestující.;po;;;;;;
Dřevěný ;pks;vůz;po;se náhle;puč;rozjel (se).;př;;;;;;;;;;
Kvůli nemoci;pu příčiny;nemohl (zabít);př;princ;po;zabít;př;sedmihlavou;pks;saň.;pt;;;;;;
Slunce;po;stoupalo;př;na vysoký;pks;dřevěný ;pks;(na) strop.;pum;;;;;;;;
Za branou;pum;nebyly;př;žádné;pks;ulice.;po;;;;;;;;;;
Naděje;po;znovu;puč;rozvinula;př;svá;pks;mocná;pks;křídla.;pt;;;;;;
Santa;po;pověsil;př;na háček;pum;zlatou ;pks;lucernu;pt;;;;;;;;
Vánoční;pks;prasátko;po;v sobě;pum;živilo;př;poslední;pks;jiskřičky;pt;naděje.;pkn;;;;
Po strastiplné;pks;(po) cestě;puč;dosáhla;př;polární;pks;výprava;po;svého;pks;cíle.;pt;;;;
Maminka;po;přidala;př;do mouky;pum;vajíčko,;pt;cukr, ;pt;máslo;pt;a citronovou;pks;kůru.;pt;;
Naši;pks;hokejisté;po;dosáhli;př;v zahraničí;pum;velkého;pks;úspěchu.;pt;;;;;;
Známý;pks;spisovatel;po;popisoval;př;čtenářům;pt;jeho ;pks;knih;pkn;svoje;pks;těžké;pks;začátky.;pt
Zkušený ;pks;cestovatel;po;putoval;př;australskou;pks;buší;pum;vytrvale;puz;celý;pks;rok.;puč;;
U staré;pks;(u) boudy;pum;byl uvázaný;př;malý;pks;pes.;po;;;;;;;;
Náš;pks;dědeček;po;čte;př;malé;pks;Aničce;pt;každý;pks;večer;puč;pohádky.;pt;;
Jana;po;namalovala;př;pro maminku;pt;hezký;pks;obrázek.;pt;;;;;;;;
S tatínkem;pt;Kuba;po;píše;př;každý;pks;den;puč;úkoly;pt;do školy.;pkn;;;;
Minojskou ;pks;kulturu;pt;proslavily;př;nádherné;pks;paláce.;po;;;;;;;;
Honzík;po;krmil;př;v ZOO;pum;ochočené;pks;žirafy;pt;a tučňáky.;pt;;;;;;
Děti;po;spolu;puz;na táboře;pum;hrály;př;Člověče, nezlob se.;pt;;;;;;;;
Počítače;po;nám;pt;zajistily;př;lepší;pks;podmínky;pt;k učení.;pkn;;;;;;
Svíčka;po;na vánočním;pks;(na) věnci;pkn;brzy;puč;dohasla.;př;;;;;;;;
Koledníci;po;vykoledovali;př;barevná;pks;vajíčka.;pt;;;;;;;;;;
Starý;pks;myslivec;po;obcházel;př;hluboký;pks;les.;pt;;;;;;;;
Sýkorka;po;poskakovala;př;kolem krmítka;pum;pro ptáčky.;pkn;;;;;;;;;;
Roblox;po;umožňuje;př;vytvářet;pt;vlastní;pks;hry.;pt;;;;;;;;
Film Minecraft;pt;režíroval;př;známý;pks;režisér.;po;;;;;;;;;;
Minecraft;po;vyhrává;př;v žebříčku;pum;nejprodávanějších;pks;her;pkn;na světě.;pkn;;;;;;
Hra;po;je napsaná;př;v programovacím;pks;(v) jazyce;puz;Java.;pkn;;;;;;;;
Srdce;po;krevet;pkn;je umístěno;př;v hlavě.;pum;;;;;;;;;;
Šnek;po;může spát;př;až tři ;pks;roky.;puč;;;;;;;;;;
Otisky;po;koaly;pkn;jsou stejné;př;jako otisky;puz;lidí.;pkn;;;;;;;;
Slon;po;jako jediný;puz;nemůže skákat.;př;;;;;;;;;;;;
Lenochod;po;tráví;př;jídlo;pt;tři;pks;dny.;puč;;;;;;;;
Želvy;po;mohou dýchat;př;skrz své;pks;(skrz) pozadí.;puz;;;;;;;;;;
Japonští;pks;makakové;po;dělají;př;sněhové;pks;koule;pt;pro zábavu.;pu příčiny;;;;;;
Veverky;po;se starají;př;o opuštěná;pks;(o) mláďata.;pt;;;;;;;;;;
Motýli;po;mají;př;chuťové;pks;buňky;pt;na nohách.;pum;;;;;;;;
